Time,Hostname,Vehicles,CPU (%),RAM (%),Net (bytes),GPU (%),GPU Mem (MB)
1739203531.328064,2d,17,35.7,87.0,3197280947,70,5940.015625
1739203531.515973,2d,15,35.0,87.0,3197310791,70,5940.015625
1739203531.6569612,2d,25,34.3,86.9,3197320694,70,5940.015625
1739203531.7334182,2d,19,36.1,86.9,3197329169,70,5940.015625
1739203532.2123866,2d,21,36.0,86.9,3197382356,70,5940.015625
1739203532.3524256,2d,17,36.0,86.8,3197389256,70,5940.015625
1739203532.5421503,2d,15,37.0,86.9,3197411597,70,5940.015625
1739203532.6811078,2d,25,36.6,86.9,3197421938,70,5940.015625
1739203532.75967,2d,19,34.9,86.9,3197431731,70,5940.015625
1739203533.240455,2d,21,34.5,86.9,3197481929,70,5940.015625
1739203533.3801405,2d,17,33.4,86.9,3197492159,71,5940.015625
1739203533.5660713,2d,15,34.3,86.9,3197504640,71,5940.015625
1739203533.7040696,2d,25,34.5,86.9,3197512563,71,5940.015625
1739203533.7829766,2d,19,35.0,86.9,3197519316,71,5940.015625
1739203534.2669728,2d,21,33.0,86.9,3197569466,71,5940.015625
1739203534.4034517,2d,17,34.1,86.9,3197577121,68,5940.015625
1739203534.5926118,2d,15,33.5,86.8,3197583505,68,5940.015625
1739203534.7314072,2d,25,33.3,86.9,3197601351,68,5940.015625
1739203534.8101125,2d,19,35.3,86.9,3197608624,68,5940.015625
1739203535.2961898,2d,21,38.4,87.0,3197645051,68,5940.015625
1739203535.4339235,2d,17,38.4,86.9,3197649401,74,5940.015625
1739203535.6188831,2d,15,38.2,86.9,3197666826,74,5940.015625
1739203535.760619,2d,25,39.6,86.9,3197675960,74,5940.015625
1739203535.8380194,2d,19,36.6,86.9,3197684187,74,5940.015625
1739203536.3220577,2d,21,34.6,86.9,3197716666,70,5940.015625
1739203536.4635587,2d,17,32.9,86.9,3197723435,70,5940.015625
1739203536.6499357,2d,15,31.1,86.9,3197738548,70,5940.015625
1739203536.7912886,2d,25,30.4,86.9,3197792686,70,5940.015625
1739203536.8670104,2d,19,30.9,86.9,3197805132,70,5940.015625
1739203537.3503008,2d,21,36.2,86.9,3197853678,72,5940.015625
1739203537.488003,2d,17,36.6,86.8,3197861205,72,5940.015625
1739203537.6759534,2d,15,38.3,86.8,3197884268,72,5940.015625
1739203537.8192005,2d,25,39.0,86.8,3197937879,72,5940.015625
1739203537.8963196,2d,19,39.6,86.8,3197937879,72,5940.015625
1739203538.3771236,2d,21,36.4,86.8,3198063332,70,5940.015625
1739203538.5168302,2d,17,36.2,86.7,3198114800,70,5940.015625
1739203538.7030902,2d,15,35.7,86.8,3198165561,70,5940.015625
1739203538.8435018,2d,25,36.7,86.8,3198181773,70,5940.015625
1739203538.924027,2d,19,35.6,86.7,3198181773,70,5940.015625
1739203539.4055948,2d,21,31.5,86.7,3198253717,72,5940.015625
1739203539.5463023,2d,17,32.7,86.7,3198328302,72,5940.015625
1739203539.7312393,2d,15,31.6,86.6,3198382889,72,5940.015625
1739203539.8706691,2d,25,29.9,86.7,3198398301,72,5940.015625
1739203539.9481938,2d,19,29.6,86.7,3198398301,72,5940.015625
1739203540.4310262,2d,21,34.3,86.1,3198492512,68,5940.015625
1739203540.5751712,2d,17,34.7,86.1,3198501938,68,5940.015625
1739203540.7571669,2d,15,36.7,86.1,3198592403,68,5940.015625
1739203540.8980446,2d,25,38.0,86.1,3198607736,68,5940.015625
1739203540.9736788,2d,19,39.4,86.0,3198618580,68,5940.015625
1739203541.4596846,2d,21,36.5,86.3,3198685005,67,5940.015625
1739203541.597388,2d,17,36.9,86.4,3198800256,67,5940.015625
1739203541.7830114,2d,15,36.9,86.5,3199059782,67,5940.015625
1739203541.9278913,2d,25,36.0,86.5,3199078841,67,5940.015625
1739203542.0048246,2d,19,35.1,86.5,3199078907,67,5940.015625
1739203542.489503,2d,21,50.0,88.6,3199199904,61,5940.015625
1739203542.633791,2d,17,53.4,88.1,3199216034,61,5940.015625
1739203542.8182526,2d,15,61.1,87.6,3199238422,61,5940.015625
1739203542.9553308,2d,25,63.4,87.8,3199255751,61,5940.015625
1739203543.042913,2d,19,66.1,88.7,3199323460,61,5940.015625
1739203543.5171545,2d,21,65.2,87.4,3199353162,39,5940.015625
1739203543.6533313,2d,17,64.5,87.7,3199362093,39,5940.015625
1739203543.84291,2d,15,60.6,88.2,3199391027,39,5940.015625
1739203543.9871788,2d,25,62.6,87.8,3199415653,39,5940.015625
1739203544.0775664,2d,19,63.5,87.8,3199432170,39,5940.015625
1739203544.5484688,2d,21,59.8,87.9,3199471375,50,5940.015625
1739203544.6872275,2d,17,59.2,87.8,3199511185,50,5940.015625
1739203544.8759124,2d,15,55.1,87.7,3199515186,50,5940.015625
1739203545.0119362,2d,25,52.8,87.7,3199526658,50,5940.015625
1739203545.1135526,2d,19,50.7,87.8,3199533638,50,5940.015625
1739203545.5784671,2d,21,51.6,89.3,3199592453,54,5940.015625
1739203545.7162747,2d,17,49.1,89.4,3199626799,54,5940.015625
1739203545.9013176,2d,15,52.2,89.4,3200025450,54,5940.015625
1739203546.0406308,2d,25,52.2,89.4,3200219243,54,5940.015625
1739203546.147914,2d,19,51.7,89.5,3200224977,54,5940.015625
1739203546.596239,2d,21,45.6,89.4,3200256397,55,5940.015625
1739203546.7386596,2d,17,45.1,89.4,3200269428,55,5940.015625
1739203546.925066,2d,15,45.1,89.4,3200281274,55,5940.015625
1739203547.0636115,2d,25,45.2,89.5,3200291062,55,5940.015625
1739203547.1705933,2d,19,43.5,89.4,3200321720,55,5940.015625
1739203547.6240811,2d,21,38.0,89.3,3200345315,65,5940.015625
1739203547.764048,2d,17,36.8,89.4,3200368929,65,5940.015625
1739203547.9512286,2d,15,32.0,89.3,3200379258,65,5940.015625
1739203548.0920374,2d,25,29.5,89.3,3200395239,65,5940.015625
1739203548.2008884,2d,19,30.0,89.3,3200408882,65,5940.015625
1739203548.6562057,2d,21,33.2,89.4,3200702129,69,5940.015625
1739203548.7960439,2d,17,34.5,89.4,3200881037,69,5940.015625
1739203548.9882953,2d,15,35.5,89.3,3200921395,69,5940.015625
1739203549.1197555,2d,25,36.9,89.3,3200935305,69,5940.015625
1739203549.2289448,2d,19,37.9,89.3,3200952070,69,5940.015625
1739203549.6776862,2d,21,38.1,89.3,3201000275,68,5940.015625
1739203549.8180828,2d,17,35.9,89.3,3201017906,68,5940.015625
1739203550.0174854,2d,15,34.9,89.3,3201036919,68,5940.015625
1739203550.1425505,2d,25,34.7,89.3,3201042108,68,5940.015625
1739203550.2534258,2d,19,33.0,89.3,3201051631,68,5940.015625
1739203550.721006,2d,21,31.7,89.3,3201090039,68,5940.015625
1739203550.8596554,2d,17,33.9,89.3,3201106666,68,5940.015625
1739203551.0597105,2d,15,35.2,89.3,3201124324,68,5940.015625
1739203551.1865873,2d,25,35.2,89.3,3201129756,68,5940.015625
1739203551.2931077,2d,19,35.2,89.3,3201146113,68,5940.015625
1739203551.7579007,2d,21,40.5,88.7,3201299174,69,5940.015625
1739203551.892395,2d,17,40.5,88.6,3201309823,69,5940.015625
1739203552.0948024,2d,15,41.5,88.6,3201332466,69,5940.015625
1739203552.220889,2d,25,43.0,88.5,3201345299,69,5940.015625
1739203552.3308516,2d,19,45.1,88.5,3201355942,65,5940.015625
1739203552.7972462,2d,21,43.3,88.4,3201405467,65,5940.015625
1739203552.9251387,2d,17,42.9,88.4,3201418606,65,5940.015625
1739203553.1268163,2d,15,44.1,88.4,3201431033,65,5940.015625
1739203553.2536652,2d,25,44.4,88.0,3201439944,65,5940.015625
1739203553.3618455,2d,19,44.3,88.0,3201446460,65,5940.015625
1739203553.827315,2d,21,41.1,87.9,3201494293,65,5940.015625
1739203553.963479,2d,17,40.8,87.9,3201503321,65,5940.015625
1739203554.1650589,2d,15,41.8,88.0,3201521708,65,5940.015625
1739203554.2895646,2d,25,39.9,88.0,3201527025,65,5940.015625
1739203554.4003384,2d,19,38.7,87.9,3201543078,68,5940.015625
1739203554.8719378,2d,21,36.4,87.9,3201577291,68,5940.015625
1739203554.9923308,2d,17,37.1,87.9,3201577291,68,5940.015625
1739203555.2006893,2d,15,34.0,87.9,3201592908,68,5940.015625
1739203555.3215787,2d,25,36.5,87.9,3201603073,68,5940.015625
1739203555.4400566,2d,19,36.5,87.9,3201622436,68,5940.015625
1739203555.909031,2d,21,39.1,88.0,3201674716,68,5940.015625
1739203556.036107,2d,17,38.5,87.9,3201682663,68,5940.015625
1739203556.2369056,2d,15,40.2,87.9,3201709082,68,5940.015625
1739203556.368605,2d,25,37.4,87.9,3201725867,72,5940.015625
1739203556.4687533,2d,19,39.4,88.0,3201734151,72,5940.015625
1739203556.9455636,2d,21,40.9,87.9,3201767533,72,5940.015625
1739203557.070027,2d,17,42.1,87.9,3201778170,72,5940.015625
1739203557.2750537,2d,15,43.3,88.1,3201807893,72,5940.015625
1739203557.4131536,2d,25,43.9,88.1,3201812005,63,5940.015625
1739203557.5086312,2d,19,44.0,88.1,3201816263,63,5940.015625
1739203557.9880438,2d,21,48.2,88.1,3201861149,63,5940.015625
1739203558.1111667,2d,17,48.1,88.1,3201889047,63,5940.015625
1739203558.3149765,2d,15,44.5,88.1,3201900044,63,5940.015625
1739203558.4523647,2d,25,44.3,88.1,3201910019,67,5940.015625
1739203558.5450068,2d,19,44.0,88.1,3201919129,67,5940.015625
1739203559.0262582,2d,21,37.6,88.3,3201957944,67,5940.015625
1739203559.1498332,2d,17,37.0,88.4,3201970975,67,5940.015625
1739203559.352115,2d,15,38.1,88.3,3201999280,72,5940.015625
1739203559.4920495,2d,25,37.8,88.3,3202004820,72,5940.015625
1739203559.5862267,2d,19,37.5,88.3,3202007106,72,5940.015625
1739203560.0690956,2d,21,35.5,88.3,3202036734,72,5940.015625
1739203560.1927834,2d,17,35.8,88.3,3202044844,72,5940.015625
1739203560.393069,2d,15,34.3,88.3,3202054092,67,5940.015625
1739203560.5318797,2d,25,34.6,88.3,3202056705,67,5940.015625
1739203560.627058,2d,19,33.6,88.3,3202071715,67,5940.015625
1739203561.1048949,2d,21,34.8,88.3,3202098697,67,5940.015625
1739203561.2350228,2d,17,34.9,88.3,3202112305,67,5940.015625
1739203561.435252,2d,15,37.5,88.2,3202119523,69,5940.015625
1739203561.5700662,2d,25,37.8,88.3,3202120125,69,5940.015625
1739203561.6659982,2d,19,37.2,88.3,3202120804,69,5940.015625
1739203562.1320238,2d,21,37.1,88.3,3202121429,69,5940.015625
1739203562.2665453,2d,17,38.5,88.4,3202121429,69,5940.015625
1739203562.4651012,2d,15,39.3,88.3,3202121429,68,5940.015625
1739203562.592911,2d,25,39.4,88.2,3202121429,68,5940.015625
1739203562.6985314,2d,19,39.4,88.2,3202121429,68,5940.015625
1739203563.1690397,2d,21,41.4,88.2,3202121598,68,5940.015625
1739203563.292029,2d,17,41.1,88.1,3202121598,68,5940.015625
1739203563.4920003,2d,15,41.4,88.1,3202121788,67,5940.015625
1739203563.618524,2d,25,40.9,88.1,3202121788,67,5940.015625
1739203563.7239656,2d,19,41.1,88.1,3202121978,67,5940.015625
1739203564.1969562,2d,21,40.3,88.1,3202122798,67,5940.015625
1739203564.3189123,2d,17,39.8,88.0,3202122893,67,5940.015625
1739203564.5216072,2d,15,37.0,88.0,3202272540,71,5940.015625
1739203564.6469867,2d,25,39.0,88.0,3202273709,71,5940.015625
1739203564.753317,2d,19,38.3,88.0,3202273709,71,5940.015625
1739203565.224243,2d,21,37.8,88.0,3202273709,71,5940.015625
1739203565.3435404,2d,17,37.6,88.0,3202273709,71,5940.015625
1739203565.5489333,2d,15,38.2,88.0,3202273815,70,5940.015625
1739203565.67074,2d,25,35.9,88.0,3202273815,70,5940.015625
